# plane-row-cell unicode（except combining character）
# 1-1-
1-1-1	　	3-2121	 U+3000
1-1-2	、	3-2122	 U+3001
1-1-3	。	3-2123	 U+3002
1-1-4	,	3-2124	 U+002C
1-1-5	.	3-2125	 U+002E
1-1-6	・	3-2126	 U+30FB
1-1-7	:	3-2127	 U+003A
1-1-8	;	3-2128	 U+003B
1-1-9	?	3-2129	 U+003F
1-1-10	!	3-212A	 U+0021
1-1-11	゛	3-212B	 U+309B
1-1-12	゜	3-212C	 U+309C
1-1-13	´	3-212D	 U+00B4
1-1-14	`	3-212E	 U+0060
1-1-15	¨	3-212F	 U+00A8
1-1-16	^	3-2130	 U+005E
1-1-17	‾	3-2131	 U+203E
1-1-18	_	3-2132	 U+005F
1-1-19	ヽ	3-2133	 U+30FD
1-1-20	ヾ	3-2134	 U+30FE
1-1-21	ゝ	3-2135	 U+309D
1-1-22	ゞ	3-2136	 U+309E
1-1-23	〃	3-2137	 U+3003
1-1-24	仝	3-2138	 U+4EDD
1-1-25	々	3-2139	 U+3005
1-1-26	〆	3-213A	 U+3006
1-1-27	〇	3-213B	 U+3007
1-1-28	ー	3-213C	 U+30FC
1-1-29	—	3-213D	 U+2014
1-1-30	‐	3-213E	 U+2010
1-1-31	\/	3-213F	 U+002F
1-1-32	\\	3-2140	 U+005C
1-1-33	〜	3-2141	 U+301C
1-1-34	‖	3-2142	 U+2016
1-1-35	|	3-2143	 U+007C
1-1-36	…	3-2144	 U+2026
1-1-37	‥	3-2145	 U+2025
1-1-38	‘	3-2146	 U+2018
1-1-39	’	3-2147	 U+2019
1-1-40	“	3-2148	 U+201C
1-1-41	”	3-2149	 U+201D
1-1-42	(	3-214A	 U+0028
1-1-43	)	3-214B	 U+0029
1-1-44	〔	3-214C	 U+3014
1-1-45	〕	3-214D	 U+3015
1-1-46	[	3-214E	 U+005B
1-1-47	]	3-214F	 U+005D
1-1-48	{	3-2150	 U+007B
1-1-49	}	3-2151	 U+007D
1-1-50	〈	3-2152	 U+3008
1-1-51	〉	3-2153	 U+3009
1-1-52	《	3-2154	 U+300A
1-1-53	》	3-2155	 U+300B
1-1-54	「	3-2156	 U+300C
1-1-55	」	3-2157	 U+300D
1-1-56	『	3-2158	 U+300E
1-1-57	』	3-2159	 U+300F
1-1-58	【	3-215A	 U+3010
1-1-59	】	3-215B	 U+3011
1-1-60	+	3-215C	 U+002B
1-1-61	−	3-215D	 U+2212
1-1-62	±	3-215E	 U+00B1
1-1-63	×	3-215F	 U+00D7
1-1-64	÷	3-2160	 U+00F7
1-1-65	=	3-2161	 U+003D
1-1-66	≠	3-2162	 U+2260
1-1-67	<	3-2163	 U+003C
1-1-68	>	3-2164	 U+003E
1-1-69	≦	3-2165	 U+2266
1-1-70	≧	3-2166	 U+2267
1-1-71	∞	3-2167	 U+221E
1-1-72	∴	3-2168	 U+2234
1-1-73	♂	3-2169	 U+2642
1-1-74	♀	3-216A	 U+2640
1-1-75	°	3-216B	 U+00B0
1-1-76	′	3-216C	 U+2032
1-1-77	″	3-216D	 U+2033
1-1-78	℃	3-216E	 U+2103
1-1-79	¥	3-216F	 U+00A5
1-1-80	$	3-2170	 U+0024
1-1-81	¢	3-2171	 U+00A2
1-1-82	£	3-2172	 U+00A3
1-1-83	%	3-2173	 U+0025
1-1-84	#	3-2174	 U+0023
1-1-85	&	3-2175	 U+0026
